family,engine,K,T,grads,rep,contract_ratio,contract_ratio_dbl,dbl_pass,theta_err,theta_err_norm,accept
dwell2,grid,8,1,False,2,0.4668552327677701,0.4660961278760677,True,0.08434402770414896,0.10324363900962762,0.75
dwell2,grid,8,1,True,2,0.07409800282339866,0.07409800277731135,True,0.0024993287673984992,0.0030517926981981293,0.75
dwell2,grid,8,1,False,3,0.46005473375631234,0.45861624681721186,True,0.11150373878838218,0.13187514342777173,0.5
dwell2,grid,8,1,True,3,0.12804190876771301,0.12804190852507125,True,0.003834966734522012,0.0046322906621357116,0.5
dwell2,grid,8,1,False,4,0.16350874167036522,0.1629610829631659,True,0.18178827581490012,0.1824200745302925,0.5
dwell2,grid,8,1,True,4,0.03623112952053078,0.03610137009024409,True,0.01651957357753171,0.01628303937476045,0.5
dwell2,grid,8,1,False,5,0.13472447354469008,0.13472194375930968,True,0.009921523143314012,0.011010137119373944,0.75
dwell2,grid,8,1,True,5,0.02492747921027961,0.024927479209331166,True,0.0003099647827431255,0.00031357710892036773,0.75
dwell2,grid,8,2,False,0,0.08843088256138124,0.0881791946868147,True,0.026845369269979984,0.026447575227870206,1.0
dwell2,grid,8,2,True,0,0.029491444553567225,0.029491399558932638,True,0.00038996684494658004,0.00038269904479348025,1.0
dwell2,grid,8,2,False,1,0.416954145580439,0.4161231755090763,True,0.05516790295442691,0.0664000854773898,0.75
dwell2,grid,8,2,True,1,0.18087157353233047,0.18085430142891465,True,0.007512917016243337,0.009190316975808719,0.75
dwell2,grid,8,2,False,2,0.5377443407944404,0.5356143957718398,True,0.27622048770297614,0.33812521500633264,0.625
dwell2,grid,8,2,True,2,0.5069641558864405,0.505059661915981,True,0.2377477808058574,0.29111432401148885,0.625
dwell2,grid,8,2,False,3,0.056679721237611044,0.056679721167237795,True,0.003313751320540921,0.0037275816686204483,0.875
dwell2,grid,8,2,True,3,0.02478549829191843,0.024785498291420342,True,0.0004602736344832334,0.0005388109350384913,0.875
dwell2,grid,8,2,False,4,0.4314202606503421,0.43067938334154976,True,0.08100149954709836,0.0989294844847824,0.75
