family,kind,d,eps,ess_cf,d2_cf,ess_emp,ess_emp_half,ess_dbl_pass,relsd_analytic,logz_emp,logz_dbl_pass,logz_bias_1e4,logz_sd_1e4,seconds,note
gaussian,scale,8,0.1,0.9673497036029024,0.0331952112587812,0.9672603154068734,0.9673861484804768,True,0.0003453659426159,-4.6896402187357467e-05,True,-0.0003017047069646,0.00177590725614,1.9,
gaussian,scale,8,0.2,0.8934333800106693,0.112683507866785,0.8934120070556584,0.8935867870433227,True,0.0006370515837175,-0.0001079272109123,True,-0.0001127397261765,0.0032329420701483,1.89,
gaussian,scale,8,0.3,0.8034023767017106,0.2188995987569862,0.8035350517932713,0.8027926047777498,True,0.0009129349831453,-0.000335840855854,True,-0.0001200071168105,0.0051567867525613,1.88,
gaussian,scale,8,0.5,0.6242950769699741,0.4711321426255337,0.6234733999445456,0.6244135900301685,True,0.0014698618394803,-0.0007793885370013,True,0.0003925538864889,0.0070602763772561,1.98,
gmm,weight_distort,8,0.1,0.96,0.0408219945202551,0.9600038435956048,0.9600035873441036,True,0.0004082482904638,-4.8655552538079405e-05,True,2.9844021835589984e-05,0.0020484161590213,4.4,semi-cf (well-separated approx)
gmm,weight_distort,8,0.2,0.84,0.1743533871447778,0.8400143584642643,0.8400144132783134,True,0.0008728715609439,0.0004407118219358,True,0.0007978409243358,0.0040291705268107,4.59,semi-cf (well-separated approx)
gmm,weight_distort,8,0.3,0.64,0.4462871026284195,0.6400311064565997,0.6400273302969028,True,0.0014999999999999,0.0001567089885146,True,-0.0012331663876884,0.0070195827588884,4.29,semi-cf (well-separated approx)
gmm,weight_distort,8,0.4,0.3599999999999999,1.0216512475319817,0.3600359665707442,0.3600413828472538,True,0.0026666666666666,-0.0006925314064964,True,-0.0002317793812552,0.0132632295479287,4.39,semi-cf (well-separated approx)
gmm,weight_distort,8,0.45,0.1899999999999999,1.660731206821651,0.1900367357852999,0.1900293082289374,True,0.0041294832096701,-3.050100857215909e-05,True,0.0010594894256198,0.0194448009429233,4.23,semi-cf (well-separated approx)
gmm,mode_drop,8,,6.415243562194552e-28,62.61370563888011,0.682035481482238,0.9913269097112349,True,inf,-0.6920573700979205,True,-0.6920209402456018,0.004274230668320398,1.21,BLIND SPOT: E[w]=1 so Zhat unbiased only at astronomical N; at practical N logZ locks onto -ln2 with tiny variance; empirical ESS is seed-lottery (const-weight plateau vs tail spike)
funnel,cond_scale,8,-0.3,0.4915001894273314,0.7102929539884154,0.4909544526274264,0.5144820500044299,True,inf,-0.0008019842809883,True,0.0012555558411088,0.010649110705378,1.6,"cf exact: v-part matches, mismatch only in d-1 conditionals"
funnel,cond_scale,8,-0.15,0.8951805964667642,0.110729797301139,0.8951964964705362,0.8951405908195991,True,0.0010171466028982,0.0003657121562881,True,0.0002334516872662,0.0033594225027264,1.61,"cf exact: v-part matches, mismatch only in d-1 conditionals"
funnel,cond_scale,8,-0.05,0.9903382336119432,0.0097087440895379,0.9903421605133688,0.9903094328691274,True,0.0002108029242642,9.065836322008636e-05,True,1.9380792801211295e-05,0.0009995673022545,1.62,"cf exact: v-part matches, mismatch only in d-1 conditionals"
funnel,cond_scale,8,0.05,0.9920859623361092,0.007945519870887,0.9920774035560876,0.9921112415266334,True,0.0001716733914822,-0.0001575605306953,True,5.145319915591529e-05,0.0009568625892671,1.6,"cf exact: v-part matches, mismatch only in d-1 conditionals"
funnel,cond_scale,8,0.15,0.941709280947698,0.0600586709898915,0.9415470478727576,0.9417047868449828,True,0.0004594668907734,-0.0003359070129125,True,-0.0002207663682072,0.0025845018109842,1.61,"cf exact: v-part matches, mismatch only in d-1 conditionals"
funnel,cond_scale,8,0.3,0.82568895109025,0.191537148912363,0.8257397244753402,0.8254864869507035,True,0.0008364531680174,-0.0003951288700534,True,-1.0190743276421443e-05,0.0046171097182885,1.51,"cf exact: v-part matches, mismatch only in d-1 conditionals"
funnel,cond_scale,8,0.5,0.6621649235802695,0.4122406247973421,0.6615608136602261,0.66133643027783,True,0.0013179787338287,-0.0009486962718661,True,-0.0008241113852193,0.0073781573023713,1.43,"cf exact: v-part matches, mismatch only in d-1 conditionals"
funnel,v_scale,8,-0.3,0.0,,0.4029361309625174,0.4667596957812736,True,inf,0.0014262305399981,True,0.0012791011835789,0.0115579117878425,1.48,1-dim mismatch (v only): d-independent by construction
funnel,v_scale,8,-0.15,0.9232985511506112,0.0798026394123987,0.9226005690654806,0.9263249461237746,True,inf,-0.0001739232731203,True,0.0001807753018838,0.0027243676004472,1.48,1-dim mismatch (v only): d-independent by construction
funnel,v_scale,8,0.15,0.9698113677414488,0.0306536926416498,0.9697574401107136,0.9696534139453752,True,0.0002950366040826,-7.270529211034216e-05,True,-2.1219113553403447e-05,0.0017387320918984,1.48,1-dim mismatch (v only): d-independent by construction
funnel,v_scale,8,0.3,0.9128549479610364,0.0911782850932904,0.9127500967776196,0.9125269584032044,True,0.0004768556207574,-0.0003262102464152,True,0.0001998846298514,0.0029761040827479,1.5,1-dim mismatch (v only): d-independent by construction
funnel,v_scale,8,0.5,0.8314794192830981,0.1845487319686447,0.8317358473682356,0.8317438950934958,True,0.0006548809178953,0.0004598568406262,True,-3.833669736154732e-05,0.0048629606775919,1.52,1-dim mismatch (v only): d-independent by construction
funnel,gauss_proposal,8,,,,4.0904607734537696e-05,8.002326431686267e-05,False,inf,-0.5793664985396969,False,-0.9788505917295816,0.6343479813674621,1.39,E[w^2]=inf for ANY Gaussian proposal vs funnel: certificate undefined
gaussian,shift,16,0.02,0.993620436379149,0.0064,0.9936149260674956,0.993626642242084,True,0.0001610294823638,-4.5762639619084666e-05,True,-2.7122238223142858e-05,0.0008850591526704,3.2,
gaussian,shift,16,0.05,0.9607894391523232,0.04,0.9607447708921918,0.9607050574282542,True,0.0004165463611554,6.329531390214527e-05,True,0.0002616063696266,0.002022076378064,3.21,
gaussian,shift,16,0.1,0.8521437889662113,0.16,0.852437241477081,0.8522574407820082,True,0.0009468267419675,0.0001719899829826,True,0.0002468626881907,0.0041060271223411,3.22,
gaussian,shift,16,0.15,0.697676326071031,0.36,0.6980808328469441,0.6968371086413555,True,0.0017946297158457,-0.000103306900792,True,0.0002061776076182,0.0062092980343726,3.21,
gaussian,shift,16,0.2,0.5272924240430485,0.64,0.5280847167726985,0.5264804078038258,True,0.0034548252221412,-0.001104119547346,True,-0.0002394810769481,0.0094673280447708,3.21,
gaussian,shift,16,0.3,0.2369277586821217,1.44,0.2334019170213523,0.2435956957702687,True,0.0177861836524266,0.0024937225525771,True,-0.0002529472252486,0.0183762367326288,3.37,
gaussian,shift,16,0.5,0.0183156388887341,4.0,0.0243446855664147,0.0230984238799571,True,2.98095781931041,-0.0130381938970511,True,-0.0085312154684408,0.0697082631283139,3.11,
gaussian,shift,16,0.7,0.000393669040655,7.839999999999999,0.001586820682781,0.0012740428358199,True,6452.640597797095,-0.0476682686461362,True,-0.0668246855518061,0.2241521949891764,3.19,
gaussian,shift,16,1.0,1.1253517471925913e-07,16.0,8.20959869751289e-05,0.0001361288371882,False,inf,-0.1877452432503545,False,-0.4753668242704089,0.624120108034691,3.29,
gaussian,scale,16,-0.3,0.197201988740492,1.6235267519735208,0.1879331979886955,0.1939468767894695,True,inf,0.0016002673335915,True,0.0015414737010646,0.0215659884591646,3.17,
gaussian,scale,16,-0.2,0.5967194738332176,0.5163081691005705,0.5916823044268666,0.5975391490446393,True,0.0104498615186996,0.0002208220158657,True,-0.0008506011595585,0.007577890130712,3.3,
gaussian,scale,16,-0.1,0.9053984463275284,0.099380159988457,0.9057035446601538,0.9059509067415938,True,0.0008220883995349,-0.0004584843069785,True,-0.0002574661463168,0.0034951208695248,3.27,
gaussian,scale,16,-0.05,0.9780530030562452,0.0221914150618009,0.9781233836247678,0.9780688453531008,True,0.0003232430992015,-7.090556555944261e-05,True,0.0002852001371251,0.00150382508998,3.4,
gaussian,scale,16,0.05,0.9820027322728349,0.018161188276313,0.9819742052440492,0.9819562364208154,True,0.0002619997296861,1.7816789219082807e-05,True,-0.0001689001043301,0.001243044044963,3.4,
gaussian,scale,16,0.1,0.9357654490606232,0.0663904225175623,0.9358457172445596,0.9358082172711664,True,0.0005027747235957,0.0002059827859692,True,8.867930249037315e-05,0.0027326283997369,3.39,
gaussian,scale,16,0.2,0.7982232045172888,0.2253670157335704,0.7977892065033287,0.7980262098286377,True,0.0009881150038577,-0.0003266824702414,True,-0.0004370173940042,0.0051268405195081,3.38,
gaussian,scale,16,0.3,0.6454553788899573,0.4377991975139724,0.6458748853751626,0.6455604268930504,True,0.001536730276231,0.000390535438683,True,0.0004019845561324,0.0077663489057636,3.38,
gaussian,scale,16,0.5,0.3897443431289458,0.9422642852510676,0.3884170736533753,0.3898779068214809,True,0.0029981196159459,0.0015755531575898,True,0.0007451616296408,0.0118672546765266,3.26,
gmm,weight_distort,16,0.1,0.96,0.0408219945202551,0.960003383002066,0.9600042956297375,True,0.0004082482904638,-0.0001818431232276,True,3.696410552317175e-05,0.002128353540036,6.54,semi-cf (well-separated approx)
gmm,weight_distort,16,0.2,0.84,0.1743533871447778,0.840012592869895,0.8400158642258913,True,0.0008728715609439,-8.299167182990175e-05,True,-0.0005642193518175,0.0046251539745392,6.59,semi-cf (well-separated approx)
gmm,weight_distort,16,0.3,0.64,0.4462871026284195,0.6400328066467705,0.6400276592404611,True,0.0014999999999999,0.0005318566571279,True,0.0006646890411815,0.008912609709639,6.32,semi-cf (well-separated approx)
gmm,weight_distort,16,0.4,0.3599999999999999,1.0216512475319817,0.3600371406668508,0.3600379614562712,True,0.0026666666666666,-0.0005590539694342,True,-0.0024597353380537,0.0123741399533022,6.3,semi-cf (well-separated approx)
gmm,weight_distort,16,0.45,0.1899999999999999,1.660731206821651,0.1900364800886416,0.1900350522313268,True,0.0041294832096701,0.0021217079857311,True,0.0018560522892385,0.0204552005629744,6.4,semi-cf (well-separated approx)
gmm,mode_drop,16,,6.415243562194552e-28,62.61370563888011,5.572642764587185e-06,0.9733136943887871,True,inf,-0.14175935409053686,True,-0.6927964029080996,0.0010156793631840328,1.89,BLIND SPOT: E[w]=1 so Zhat unbiased only at astronomical N; at practical N logZ locks onto -ln2 with tiny variance; empirical ESS is seed-lottery (const-weight plateau vs tail spike)
funnel,cond_scale,16,-0.3,0.2182626052371919,1.522056329975176,0.2298318854245031,0.2426271518005556,True,inf,-0.0009708489317254,True,-0.0030654983946408,0.0185456828936894,2.49,"cf exact: v-part matches, mismatch only in d-1 conditionals"
funnel,cond_scale,16,-0.15,0.7887718708048974,0.2372781370738692,0.7880879273671743,0.7886911527578465,True,0.0018925213003569,0.0011392500002322,True,-3.37946209465656e-05,0.0049159322517954,2.48,"cf exact: v-part matches, mismatch only in d-1 conditionals"
funnel,cond_scale,16,-0.05,0.9794104679746972,0.0208044516204383,0.9794200529050756,0.9794631057555144,True,0.0003124853791746,-0.0001517736759915,True,0.000298962278283,0.0014107864093279,2.32,"cf exact: v-part matches, mismatch only in d-1 conditionals"
funnel,cond_scale,16,0.05,0.983118011147058,0.0170261140090437,0.98314592174515,0.983131449255086,True,0.0002534143109997,6.827053405800143e-05,True,1.418018676702104e-05,0.001181350484371,2.61,"cf exact: v-part matches, mismatch only in d-1 conditionals"
funnel,cond_scale,16,0.15,0.879240201258998,0.1286971521211962,0.8792641379536639,0.8796301318660829,True,0.0007123735171952,-0.0003401565705729,True,0.0001548262388692,0.003600509609329,2.52,"cf exact: v-part matches, mismatch only in d-1 conditionals"
funnel,cond_scale,16,0.3,0.6633604657222494,0.4104367476693492,0.6631377579357679,0.6637180029637814,True,0.0014547270977454,-0.0008184816275225,True,0.0004843876842254,0.006911900361544,2.51,"cf exact: v-part matches, mismatch only in d-1 conditionals"
funnel,cond_scale,16,0.5,0.4133863019333613,0.8833727674228758,0.4131851035719663,0.4125469303631582,True,0.002765951253695,-0.0012073474787968,True,-0.0007451230224271,0.0113978430892935,2.09,"cf exact: v-part matches, mismatch only in d-1 conditionals"
funnel,v_scale,16,-0.3,0.0,,0.3878962909020595,0.4811963831218174,True,inf,-0.0009713802433015,True,-0.0002731828112171,0.0091599936961889,2.49,1-dim mismatch (v only): d-independent by construction
funnel,v_scale,16,-0.15,0.9232985511506112,0.0798026394123987,0.9245799521865397,0.9206802668919312,True,inf,7.499309015912559e-05,True,-0.0001382907123193,0.0024862999381765,2.52,1-dim mismatch (v only): d-independent by construction
funnel,v_scale,16,0.15,0.9698113677414488,0.0306536926416498,0.9698988291575894,0.9698395537261056,True,0.0002950366040826,0.0001138249428862,True,-5.847106767442157e-05,0.0016695777238221,2.52,1-dim mismatch (v only): d-independent by construction
funnel,v_scale,16,0.3,0.9128549479610364,0.0911782850932904,0.9133020224865316,0.9132143488552434,True,0.0004768556207574,0.0004725854782918,True,0.0001566529022544,0.0032826459679121,2.58,1-dim mismatch (v only): d-independent by construction
funnel,v_scale,16,0.5,0.8314794192830981,0.1845487319686447,0.8314662958784265,0.8305237953152407,True,0.0006548809178953,-0.0001390601224784,True,3.236661933105012e-05,0.0046142693836663,2.67,1-dim mismatch (v only): d-independent by construction
funnel,gauss_proposal,16,,,,2.472355117166972e-05,3.721803053215868e-05,True,inf,-1.457386217176584,True,-1.775802106022712,0.4439978105434193,2.7,E[w^2]=inf for ANY Gaussian proposal vs funnel: certificate undefined
